id,created_at,buyer,seller,trade_type,btc_amount,btc_traded,fee_btc,btc_amount_less_fee,btc_final,fiat_amount,fiat_fee,fiat_per_btc,currency,exchange_rate,transaction_released_at,online_provider,reference
61772,2013-07-26 12:49:37+00:00,kenken12,MMattLeeE,LOCAL_BUY,2.08000000,2.08000000,0.00,2.08000000,2.08000000,199.72,0.00,96.02,USD,96.02,,,BITCOIN L61772B1BNW
66466,2013-08-06 12:55:19+00:00,kenken12,MMattLeeE,LOCAL_SELL,28.39300000,28.39300000,0E-8,28.39300000,28.39300000,3000.00,0.00,105.66,USD,105.66,,,L66466B1FAA
66628,2013-08-06 18:24:23+00:00,moneystacks,MMattLeeE,LOCAL_SELL,4.76420000,4.76420000,0E-8,4.76420000,4.76420000,500.00,0.00,104.95,USD,104.95,,,L66628B1FES
67775,2013-08-09 02:07:21+00:00,sirsdot,MMattLeeE,LOCAL_SELL,4.85580000,4.85580000,0E-8,4.85580000,4.85580000,500.00,0.00,102.97,USD,102.97,,,L67775B1GAN
66872,2013-08-07 04:07:07+00:00,Gwiz8963,MMattLeeE,LOCAL_SELL,2.22240400,2.20040000,0.02200400,2.20040000,2.22240400,233.00,2.31,105.89,USD,105.89,2013-08-10 17:00:09+00:00,,L66872B1FLK
69908,2013-08-13 23:46:11+00:00,demetriususa,MMattLeeE,LOCAL_BUY,27.46000000,27.46000000,0.00,27.46000000,27.46000000,3000.00,0.00,109.25,USD,109.25,,,BITCOIN L69908B1HXW
69906,2013-08-13 23:43:10+00:00,kenken12,MMattLeeE,LOCAL_BUY,27.48000000,27.48000000,0.00,27.48000000,27.48000000,2999.99,0.00,109.17,USD,109.17,,,BITCOIN L69906B1HXU
69797,2013-08-13 18:47:28+00:00,Ljvtn,MMattLeeE,LOCAL_SELL,5.62750000,5.62750000,0E-8,5.62750000,5.62750000,600.00,0.00,106.62,USD,106.62,,,L69797B1HUT
67954,2013-08-09 14:39:51+00:00,elijahabell88,MMattLeeE,LOCAL_SELL,1.95310000,1.95310000,0E-8,1.95310000,1.95310000,200.00,0.00,102.40,USD,102.40,,,L67954B1GFM
67740,2013-08-09 00:12:57+00:00,moneystacks,MMattLeeE,LOCAL_SELL,2.45000000,2.45000000,0E-8,2.45000000,2.45000000,250.00,0.00,102.04,USD,102.04,,,L67740B1G9O
71657,2013-08-17 15:49:56+00:00,Cmac7,MMattLeeE,LOCAL_SELL,3.15090000,3.15090000,0E-8,3.15090000,3.15090000,350.00,0.00,111.08,USD,111.08,,,L71657B1JAH
